category	word	count
long	discrimination	254
long	infrastructure	185
long	telecommunication	158
long	electromagnetic	66
long	photosynthesis	38
long	exponentiation	31
long	three-dimensional	30
long	thermodynamics	21
long	cardiovascular	19
long	wollstonecraft	19
long	two-dimensional	13
long	electromagnetism	12
long	multiplication	11
long	interchangeable	8
long	archaeologists	7
long	bird-of-paradise	7
long	communications	7
long	hunter-gatherers	7
long	extraterrestrial	6
long	great-great-grandparents	6
long	humanitarianism	6
long	industrialisation	6
long	macroeconomics	6
long	non-governmental	6
long	cinematography	5
long	constantinople	5
long	constellations	5
long	hunter-gatherer	5
long	mountaineering	5
long	paleontologists	5
long	photojournalism	5
long	semiconductors	5
long	authoritarianism	4
long	disambiguation	4
long	environmentalism	4
long	great-grandparents	4
long	hydroelectricity	4
long	multiculturalism	4
long	multilingualism	4
long	one-dimensional	4
long	sustainability	4
long	triangle-shaped	4
long	electromagnets	3
long	neighbourhoods	3
long	paleontologist	3
long	supercomputers	3
long	birds-of-paradise	2
long	chrysanthemums	2
long	cluck-cluck-cluck	2
long	hippopotamuses	2
long	mathematicians	2
long	quadrilaterals	2
long	rikki-tikki-tavi	2
long	trick-or-treating	2
long	yellowish-brown	2
long	yellowish-white	2
long	african-american	1
long	anthropologies	1
long	beautiful-flower	1
long	biotechnology's	1
long	bring-your-own-cup	1
long	bumper-to-bumper	1
long	cassini-huygens	1
long	choreographers	1
long	cinematographer	1
long	cleveland-lloyd	1
long	click-clack-ding	1
long	cock-a-doodle-doo	1
long	come-a-wassailing	1
long	connect-the-dots	1
long	crescent-shaped	1
long	czechoslovakia	1
long	dermatologists	1
long	difficult-to-open	1
long	disappointment	1
long	environmentalists	1
long	feeling-of-happy	1
long	fingerspelling	1
long	fortification's	1
long	fortifications	1
long	great-grandfather	1
long	great-grandmother	1
long	great-grandparent	1
long	great-great-great-grandparents	1
long	hard-to-remember	1
long	history-of-technology	1
long	horticulturist	1
long	impressionists	1
long	jayawardenepura	1
long	judeo-christian-islamic	1
long	leatherjackets	1
long	libertarianism	1
long	mahayana-buddhist	1
long	meteorologists	1
long	microeconomics	1
long	microorganisms	1
long	natural-looking	1
long	newfoundlanders	1
long	nineteen-year-old	1
long	over-the-counter	1
long	photojournalist	1
long	problem-solving	1
long	quetzalcoatlus	1
long	radioactive-tag	1
long	refrigeration's	1
long	representation	1
long	representative	1
long	rumpelstiltskin	1
long	schwarzenegger	1
long	secretarybirds	1
long	self-fulfilling	1
long	semiconductor's	1
long	strange-looking	1
long	telecommunication's	1
long	try-before-you-buy	1
long	wollstonecraft's	1
no_vowel	myth	393
no_vowel	rhythm	265
no_vowel	myths	77
no_vowel	dvds	17
no_vowel	lynx	15
no_vowel	hymn	13
no_vowel	hymns	5
no_vowel	rhythms	3
no_vowel	tsch	3
no_vowel	fly's	2
no_vowel	gyms	2
no_vowel	nymph	2
no_vowel	brr-brr	1
no_vowel	ctrl	1
no_vowel	gym's	1
no_vowel	html	1
no_vowel	kyrgyz	1
no_vowel	lsch	1
no_vowel	lymph	1
no_vowel	mm-hmm	1
no_vowel	mmmm	1
no_vowel	nymphs	1
no_vowel	pssst	1
no_vowel	pygmy	1
no_vowel	shh-shh	1
no_vowel	sssssss	1
no_vowel	styx	1
triple_repeat	waitress's	8
triple_repeat	iii	2
triple_repeat	mmm	2
triple_repeat	actress's	1
triple_repeat	beeeeh	1
triple_repeat	class's	1
triple_repeat	grass's	1
triple_repeat	mass's	1
triple_repeat	mmmm	1
triple_repeat	nnn	1
triple_repeat	pleeease	1
triple_repeat	pssst	1
triple_repeat	sssssss	1
triple_repeat	wheee	1
triple_repeat	www	1
