lemma	category	source
abortion	—	v2_pro
about	—	v2_pro
above	—	v2_pro
abraham	—	v2_pro
abraham lincoln	—	v2_pro
abstract art	—	v2_pro
achaemenid empire	—	v2_pro
acid	—	v2_pro
action	—	v2_pro
activity	—	v2_pro
actor	—	v2_pro
actress	—	v2_pro
adam smith	—	v2_pro
add	—	v2_pro
addiction	—	v2_pro
address	—	v2_pro
adolescence	—	v2_pro
adolf hitler	—	v2_pro
adult	—	v2_pro
aesthetic	—	v2_pro
afraid	—	v2_pro
africa	—	v2_pro
african	—	v2_pro
african traditional religions	—	v2_pro
after	—	v2_pro
afternoon	—	v2_pro
again	—	v2_pro
age	—	v2_pro
age of enlightenment	—	v2_pro
ago	—	v2_pro
agree	—	v2_pro
agriculture	—	v2_pro
air	—	v2_pro
aircraft	—	v2_pro
airport	—	v2_pro
al khwarizmi	—	v2_pro
alan turing	—	v2_pro
albert einstein	—	v2_pro
alcoholic	—	v2_pro
alcoholic beverage	—	v2_pro
alexander	—	v2_pro
alexander the great	—	v2_pro
algae	—	v2_pro
algebra	—	v2_pro
algeria	—	v2_pro
all	—	v2_pro
allergy	—	v2_pro
alloy	—	v2_pro
almost	—	v2_pro
alone	—	v2_pro
alphabet	—	v2_pro
also	—	v2_pro
always	—	v2_pro
am	—	v2_pro
amazing	—	v2_pro
amazon	—	v2_pro
amazon rainforest	—	v2_pro
amazon river	—	v2_pro
america	—	v2_pro
american revolution	—	v2_pro
amphibian	—	v2_pro
an	—	v2_pro
analysis	—	v2_pro
analytical chemistry	—	v2_pro
anarchism	—	v2_pro
anatomy	—	v2_pro
ancient	—	v2_pro
ancient egypt	—	v2_pro
ancient greece	—	v2_pro
ancient history	—	v2_pro
ancient rome	—	v2_pro
and	—	v2_pro
andean	—	v2_pro
andean civilizations	—	v2_pro
anesthesia	—	v2_pro
anger	—	v2_pro
angle	—	v2_pro
angry	—	v2_pro
animal	—	v2_pro
animal husbandry	—	v2_pro
animation	—	v2_pro
another	—	v2_pro
answer	—	v2_pro
antarctica	—	v2_pro
anthropology	—	v2_pro
antibiotic	—	v2_pro
antoine lavoisier	—	v2_pro
any	—	v2_pro
anyone	—	v2_pro
anything	—	v2_pro
apple	—	v2_pro
april	—	v2_pro
apron	—	v2_pro
arabic	—	v2_pro
arabic numerals	—	v2_pro
arabic script	—	v2_pro
archaea	—	v2_pro
archaeology	—	v2_pro
architecture	—	v2_pro
arctic	—	v2_pro
arctic ocean	—	v2_pro
are	—	v2_pro
area	—	v2_pro
argentina	—	v2_pro
arithmetic	—	v2_pro
arm	—	v2_pro
armour	—	v2_pro
around	—	v2_pro
arrive	—	v2_pro
art	—	v2_pro
arthritis	—	v2_pro
arthropod	—	v2_pro
article	—	v2_pro
artificial	—	v2_pro
artificial intelligence	—	v2_pro
as	—	v2_pro
ashoka	—	v2_pro
asia	—	v2_pro
ask	—	v2_pro
