word	reason
beyonc	잘린 단어 (Beyoncé)
bie	의미불명 조각
botony	오타 (botany)
budapestr	잘린 단어 (Budapest)
burkinab	잘린 단어 (Burkinabé)
canel	오타 또는 잘린 단어 (cannel?)
cangdi	의미불명 조각
choseoneo	오타 (Choseon?)
choseonmal	오타 (Choseonmal?)
cu-ckoo	오타 또는 잘린 단어 (cuckoo)
cze	잘린 단어 (Czech의 일부)
d'arezzo	외래어지만 잘린 형태
d'ivoire	외래어지만 잘린 형태
d'ocha	외래어지만 잘린 형태
dededo	의미불명 조각
di-pertuan	외래어지만 잘린 형태
diktys	의미불명 조각
djurg	잘린 단어
dobr	잘린 단어 (dobrý의 일부)
ds	의미불명 조각
eah	오타 또는 의미불명
eaw	의미불명 조각
ett	의미불명 조각
eur	잘린 단어 또는 약어
fars	오타 또는 의미불명
fc	의미불명 조각
flip-flip	의미불명 조각 (flip-flop 오타)
flos	잘린 단어 또는 오타
fm	약어로 보이나 문맥상 부적절
fon	오타 (phone 또는 fun)
fuark	의미불명 조각
g-city	비정상적인 합성어
garc	잘린 단어 또는 오타
geul	의미불명 조각
heian	오타 또는 의미 불명
hel-lo	하이픈 오용
hi-yah	비정상 하이픈
hichilema	고유명사 가능하나 의심
hideyoshi	고유명사 가능하나 의심
himiko	고유명사 가능하나 의심
hin	잘린 단어
hole's	비정상 소유격
home's	비정상 소유격
hometown's	비정상 소유격
homicide's	비정상 소유격
hoo-ray	비정상 하이픈
hooke	고유명사 가능하나 의심
hormone's	비정상 소유격
horny	부적절한 단어
hospital's	비정상 소유격
hotel's	비정상 소유격
hour's	비정상 소유격
huacaya	고유명사 가능하나 의심
huang's	비정상 소유격
huginn	고유명사 가능하나 의심
hummingbird's	비정상 소유격
hus	잘린 단어
huset	외래어 가능하나 의심
hyundai	고유명사 가능하나 의심
iai	의미 불명
iblis	고유명사 가능하나 의심
ice's	비정상 소유격
icumen	고어 가능하나 의심
ifmmp	의미 불명
ii's	비정상 소유격
image's	비정상 소유격
incan	고유명사 가능하나 의심
infarction's	비정상 소유격
infection's	비정상 소유격
inge	고유명사 가능하나 의심
instrument's	비정상 소유격
interview's	비정상 소유격
intramuros	고유명사 가능하나 의심
inuktitut	고유명사 가능하나 의심
ipanema	고유명사 가능하나 의심
iqbal	고유명사 가능하나 의심
irrawaddy	고유명사 가능하나 의심
ishtar	고유명사 가능하나 의심
langue	프랑스어 단어, 영어 아님
lantana	식물명이지만 일반적이지 않음
lari	외래어, 영어 단어 아님
lavash	외래어, 영어 단어 아님
laylat	아랍어 단어, 영어 아님
lb	약어, 단어 아님
le	프랑스어 관사, 영어 아님
leah	고유명사, 비정상 아님
leatherjackets	복합어, 비정상 아님
leatherwood	식물명, 비정상 아님
leeuwenhoek	고유명사, 비정상 아님
legos	상표명, 비정상 아님
lehmann	고유명사, 비정상 아님
lemon-lime	복합어, 비정상 아님
leningrad	지명, 비정상 아님
leto	고유명사, 비정상 아님
lev	약어 또는 이름, 비정상 아님
leveret	희귀 영어 단어, 비정상 아님
levi's	상표명, 비정상 아님
leviticus	고유명사, 비정상 아님
leyte	지명, 비정상 아님
lg	약어, 단어 아님
lichtenstein	고유명사, 비정상 아님
lig	약어 또는 조각, 비정상 아님
ligo	약어, 비정상 아님
lil	약어 또는 이름, 비정상 아님
lilongwe	지명, 비정상 아님
lin	이름, 비정상 아님
linh	이름, 비정상 아님
lipid-rich	복합어, 비정상 아님
lituya	지명, 비정상 아님
ll	약어, 단어 아님
lom	약어 또는 조각, 비정상 아님
londinium	고유명사, 비정상 아님
long-neck	복합어, 비정상 아님
long-sleeve	복합어, 비정상 아님
long-term	복합어, 비정상 아님
longlegs	복합어, 비정상 아님
longsword	복합어, 비정상 아님
lsch	조각, 의미 불명
luangwa	지명, 비정상 아님
lub-dub	의성어, 비정상 아님
ludo	게임명, 비정상 아님
lugdunum	고유명사, 비정상 아님
lugus	고유명사, 비정상 아님
lukashenko	고유명사, 비정상 아님
lulu's	소유격, 비정상 아님
lye	희귀 영어 단어, 비정상 아님
ma	약어 또는 호칭, 비정상 아님
maas	지명, 비정상 아님
macos	상표명, 비정상 아님
madrasah	외래어, 비정상 아님
madre	외래어, 비정상 아님
madrile	조각, 의미 불명
magandang	외래어, 비정상 아님
magyar	외래어, 비정상 아님
mahabaleshwar	지명, 비정상 아님
mahabharata	고유명사, 비정상 아님
mahadeva	고유명사, 비정상 아님
maharaj	외래어, 비정상 아님
mahayana-buddhist	복합어, 비정상 아님
mainz	지명, 비정상 아님
majuro	지명, 비정상 아님
makemake	고유명사, 비정상 아님
makkah	지명, 비정상 아님
mal	약어 또는 접두사, 비정상 아님
malu	이름, 비정상 아님
manama	지명, 비정상 아님
manaus	지명, 비정상 아님
mandalas	외래어, 비정상 아님
mandolins	악기명, 비정상 아님
manes	희귀 영어 단어, 비정상 아님
mangaka	외래어, 비정상 아님
manipur	지명, 비정상 아님
manitoba	지명, 비정상 아님
mans	소유격 또는 복수형, 비정상 아님
mansaf	외래어, 비정상 아님
manyatta	외래어, 비정상 아님
manzoni	고유명사, 비정상 아님
mao	고유명사, 비정상 아님
nairobbery	의미불명 조각 (나이로비+강도)
nstika	의미불명 조각
oddi	의미불명 조각
platos	오타 (Plato의 복수형이 아님)
pok	의미불명 조각
popocat	잘린 단어 (Popocatépetl)
prez	비공식 약어 (president)
pusath	오타 또는 의미불명
pvs	의미불명 약어
qsl	의미불명 약어
ra-bin-dra-nath	비정상적 하이픈 표기
rden	잘린 단어 (garden의 일부)
rk	의미불명 조각
rmqi	의미불명 조각
rquez	잘린 단어 (예: Rodriguez)
rus	잘린 단어 (Russia의 일부)
sa	잘린 단어 (예: Saturday)
simple's	소유격 오류 (simple의 소유격 아님)
slide's	소유격 오류 (slide의 소유격 아님)
sn	잘린 단어
snow's	소유격 오류 (snow의 소유격 아님)
snowy's	소유격 오류 (snowy의 소유격 아님)
society's	소유격 오류 (society의 소유격 아님)
soldier's	소유격 오류 (soldier의 소유격 아님)
something-box	의미불명 조각
soup's	소유격 오류 (soup의 소유격 아님)
spaceflight's	소유격 오류 (spaceflight의 소유격 아님)
speech's	소유격 오류 (speech의 소유격 아님)
spice's	소유격 오류 (spice의 소유격 아님)
spider's	소유격 오류 (spider의 소유격 아님)
spmi	의미불명 조각
spring's	소유격 오류 (spring의 소유격 아님)
square's	소유격 오류 (square의 소유격 아님)
sssssss	의미불명 조각
steamboat's	소유격 오류 (steamboat의 소유격 아님)
steel's	소유격 오류 (steel의 소유격 아님)
step-step-pause	의미불명 조각
stika	오타 (sticker?)
stocking's	소유격 오류
story-book	하이픈 오류
story-reader	하이픈 오류
structure's	소유격 오류
student's	소유격 오류
substance's	소유격 오류
sun-origin	의미불명 조각
sun-warmed	하이픈 오류
supernova's	소유격 오류
swing's	소유격 오류
ta-gore	오타 (Tagore)
table's	소유격 오류
tahat	오타 (that)
take-away	하이픈 오류
tang's	소유격 오류
tap-tap-tap	의미불명 조각
tap-tap-tapping	의미불명 조각
taxi's	소유격 오류
tea's	소유격 오류
teh	오타 (the)
telecommunication's	소유격 오류
telescope's	소유격 오류
temple's	소유격 오류
thep	오타 (them)
toy-add	의미불명 조각
toyco	의미불명 조각
trac	잘린 단어
trdeln	잘린 단어 (trdelník)
ur	오타 또는 축약어 (your)
uralsk	철자 오류 가능성 (Uralsk)
urimal	의미 불명의 단어
vah	의미 불명의 단어
waw-tah	비표준 철자 또는 외래어
