word	count	sentence
aarav	1	People have names, like 'Aarav' or 'Ananya'." Animals have names too, like "cat" or "dog." Your name is special to you.
aaron	1	Yes, Moses has a brother named Aaron.
abba	1	The Beatles, Queen, and ABBA all have songs that many people know and sing.
abdullah	1	The king is named King Abdullah II.
abel	1	The sea was named after a man named Abel Tasman who explored it long ago.
aboriginals	1	They are called Aboriginals and Torres Strait Islanders.
abraham's	1	This is Abraham's sheep.
acteon	1	One time, a man named Acteon saw her bathing, and she turned him into a deer.
adam's	1	Then God made Eve from one of Adam's ribs.
adele	1	Today, singers like Adele also sing soul music.
adios	1	She teaches me common words like "hola" and "adios".
adolphe	1	It was made by a man named Adolphe Sax.
aesop	1	The most famous fables are by a man named Aesop.
agartala	1	Buses even go from Dhaka to a place in India called Agartala.
agong	1	The king is called the Yang di-Pertuan Agong.
airbus	1	The city has lots of businesses, and a company called Airbus builds big airplanes there.
aisukurimu	1	For example, 'aisukurimu' means ice cream.
aix-en-provence	1	Other cities are Nice, Avignon, and Aix-en-Provence.
ajanta	1	There are old caves called Ajanta and Ellora that people visit.
akal	1	First, learn some words like 'Sat Sri Akal' for hello.
akershus	1	Oslo has a famous old fort called Akershus Fortress.
akhenaten	1	For a short time, one pharaoh named Akhenaten said people should only worship one god, the sun disk Aten.
akkad	1	Sumer and Akkad are lands near the same rivers.
aksum	1	Long ago, there was a big kingdom called Aksum.
al-aqsa	1	For Muslims, it is where Muhammad went up to heaven, and the Dome of the Rock and Al-Aqsa Mosque are there.
al-arab	1	Basra sits near a wide river called the Shatt al-Arab.
al-fitr	1	Eid al-Fitr comes after fasting.
al-mansur	1	The city was built by a ruler named al-Mansur.
al-qadr	1	There is also a night called Laylat al-Qadr, when the holy book of Muslims, the Qur'an, was first shown to people.
alabama	1	They are not very tall, but they are wide and stretch from Canada down to Alabama.
alberta	1	Calgary is a big city in Canada, in a place called Alberta.
aleppo	1	The biggest city is Aleppo, and the capital city is Damascus.
algarve	1	Many people visit Portugal for holidays, especially the sunny Algarve region and Lisbon.
allahu	1	After that, we pray together and say 'Allahu Akbar'.
alphago	1	In 2016, a computer named AlphaGo beat the best Go player.
alphonso	1	Mangoes come in many kinds, like Alphonso.
ama-no-uzume	1	A happy goddess named Ama-no-Uzume danced and made everyone laugh.
amadou	1	A boy named Amadou lives in Senegal.
amantani	1	Another island called Amantani has two mountain peaks with old ruins on top.
ambergris	1	Belize has many islands, and the biggest one is called Ambergris Caye.
ami	1	Last, say a whole sentence like 'Bonjour, mon ami!'
amo	1	I can say 'amo' means love in Latin.
amstel	1	Long ago, people built a dam in the river Amstel, and that is how the city got its name.
