word	count	sentence	rewritten
aah	1	People watch it and say 'ooh' and 'aah'.	People watch it and say 'wow' and 'oh'.
aarav	1	People have names, like 'Aarav' or 'Ananya'." Animals have names too, like "cat" or "dog." Your name is special to you.	
aaron	1	Yes, Moses has a brother named Aaron.	
abba	1	The Beatles, Queen, and ABBA all have songs that many people know and sing.	
abdullah	1	The king is named King Abdullah II.	
abel	1	The sea was named after a man named Abel Tasman who explored it long ago.	
ableism	1	Sexism and ableism are ways people are not kind.	Being mean to people because of their body or mind is not kind.
aboriginals	1	They are called Aboriginals and Torres Strait Islanders.	
abraham's	1	This is Abraham's sheep.	
abuse	1	When someone hurts another person, that is a human rights abuse.	When someone hurts another person, that is a bad thing.
accused	1	The other person is called the person who is accused.	The other person is called the one who is said to have done wrong.
acoustical	1	A person who uses sound to build things is called an acoustical engineer.	A person who uses sound to build things is called a sound builder.
acoustician	1	A person who studies sound is called an acoustician.	A person who studies sound is called a sound scientist.
acteon	1	One time, a man named Acteon saw her bathing, and she turned him into a deer.	
actress's	1	The actress's dress is long.	The dress of the actress is long.
actuaries	1	People called actuaries figure out how much you pay.	People called math helpers figure out how much you pay.
adam's	1	Then God made Eve from one of Adam's ribs.	
adaptations	1	Adaptations are not perfect; they have good and bad parts.	Changes in animals are not perfect. They have good and bad parts.
addicted	1	Can a person be addicted to sweets?	Can a person want sweets too much?
addresses	1	E-mail addresses look like name@place.com.	E-mail names look like name@place.com.
adele	1	Today, singers like Adele also sing soul music.	
adios	1	She teaches me common words like "hola" and "adios".	
adolphe	1	It was made by a man named Adolphe Sax.	
adverb	1	An adverb phrase tells more about a word that describes an action.	A word group tells more about a doing word.
aesop	1	The most famous fables are by a man named Aesop.	
african's	1	This is an African's hat.	This is a hat from Africa.
agartala	1	Buses even go from Dhaka to a place in India called Agartala.	
ageism	1	Sexism, racism, and ageism are all types of unfair thinking.	Being mean to people because of their age is not fair.
agents	1	People called agents sell insurance.	People called sellers sell insurance.
agong	1	The king is called the Yang di-Pertuan Agong.	
agreeing	1	When a friend asks, 'Do you want to play?' and you say yes, that is agreeing.	When a friend asks, 'Do you want to play?' and you say yes, that is saying yes.
ah-ha	1	A discovery makes you say 'ah-ha!' A discovery and a gift are both nice things you might get.	A discovery makes you say 'oh!' A discovery and a gift are both nice things you might get.
airbus	1	The city has lots of businesses, and a company called Airbus builds big airplanes there.	
airliners	1	Big planes that carry people are called airliners.	Big planes that carry people are called big planes.
aisukurimu	1	For example, 'aisukurimu' means ice cream.	
aix-en-provence	1	Other cities are Nice, Avignon, and Aix-en-Provence.	
ajanta	1	There are old caves called Ajanta and Ellora that people visit.	
akal	1	First, learn some words like 'Sat Sri Akal' for hello.	
akershus	1	Oslo has a famous old fort called Akershus Fortress.	
akhenaten	1	For a short time, one pharaoh named Akhenaten said people should only worship one god, the sun disk Aten.	
akkad	1	Sumer and Akkad are lands near the same rivers.	
aksum	1	Long ago, there was a big kingdom called Aksum.	
al-aqsa	1	For Muslims, it is where Muhammad went up to heaven, and the Dome of the Rock and Al-Aqsa Mosque are there.	
al-arab	1	Basra sits near a wide river called the Shatt al-Arab.	
al-fitr	1	Eid al-Fitr comes after fasting.	
al-mansur	1	The city was built by a ruler named al-Mansur.	
al-qadr	1	There is also a night called Laylat al-Qadr, when the holy book of Muslims, the Qur'an, was first shown to people.	
alabama	1	They are not very tall, but they are wide and stretch from Canada down to Alabama.	
alberta	1	Calgary is a big city in Canada, in a place called Alberta.	
aleppo	1	The biggest city is Aleppo, and the capital city is Damascus.	
algarve	1	Many people visit Portugal for holidays, especially the sunny Algarve region and Lisbon.	
allahu	1	After that, we pray together and say 'Allahu Akbar'.	
allegiance	1	Last, they say the Pledge of Allegiance.	Last, they say the promise to the flag.
almosts	1	It was a day of almosts, but I was okay.	It was a day of near things, but I was okay.
alphago	1	In 2016, a computer named AlphaGo beat the best Go player.	
alphonso	1	Mangoes come in many kinds, like Alphonso.	
alto	1	The highest voice is soprano, then alto, then tenor, then bass.	The highest voice is high, then middle, then low, then very low.
ama-no-uzume	1	A happy goddess named Ama-no-Uzume danced and made everyone laugh.	
amadou	1	A boy named Amadou lives in Senegal.	
amantani	1	Another island called Amantani has two mountain peaks with old ruins on top.	
ambergris	1	Belize has many islands, and the biggest one is called Ambergris Caye.	
ami	1	Last, say a whole sentence like 'Bonjour, mon ami!'	
amo	1	I can say 'amo' means love in Latin.	
amstel	1	Long ago, people built a dam in the river Amstel, and that is how the city got its name.	
amundsen	1	The first people to reach the South Pole were from Norway, led by Roald Amundsen, in 1911.	
amy's	1	I like to go to Amy's home after school.	
anaconda	1	In the jungle, there are big snakes like the Green Anaconda.	
anak	1	It is called Anak Krakatau, which means baby Krakatoa.	
anansi	1	African traditional religions, stories about Anansi, and drumming are parts of African culture.	
ananya	1	People have names, like 'Aarav' or 'Ananya'." Animals have names too, like "cat" or "dog." Your name is special to you.	
anchises	1	His father was Anchises and his mother was a goddess.	
anchorage	1	The biggest city is Anchorage, where many people live.	
anders	1	A man named Anders Celsius made this scale a long time ago.	
android	1	Examples are Windows, macOS, Android, and Linux.	
andros	1	The biggest island is called Andros, and the capital city, Nassau, sits on another island.	
anglo-saxons	1	People called Anglo-Saxons spoke it.	
anh	1	When you learn Vietnamese, you call older people "anh" for big brother or "chị" for big sister, even if they are not your family.	
animator	1	A person who makes cartoons is called an animator.	A person who makes cartoons is called a cartoon maker.
announcer's	1	I remember the announcer's voice very well.	I remember the voice of the person who talks on TV very well.
anopheles	1	The mosquito that gives malaria is called Anopheles.	
anthills	1	People live in towns like ants live in anthills.	People live in towns like ants live in ant homes.
anticosti	1	It has islands like Prince Edward Island and Anticosti Island.	
antiguan	1	The people speak English and a special way of talking called Antiguan Creole.	
antler	1	A horn is not the same as an antler, which falls off and grows back.	A horn is not the same as a deer horn, which falls off and grows back.
antoinette	1	The queen during the french revolution was Marie Antoinette.	
antonie	1	A man named Antonie van Leeuwenhoek used a special tool called a microscope to see tiny living things.	
antony	1	Julius Caesar, Augustus, and Mark Antony were all Roman leaders.	
anybody	1	Anybody can play sport, like you and your friends.	Anyone can play sport, like you and your friends.
apache	1	In another story from the Apache people, a small man called the Creator made light and then made the Earth from a small brown ball.	
apfelstrudel	1	Famous foods from Austria are Wiener Schnitzel and Apfelstrudel.	
apo	1	The highest mountain is Mount Apo.	
arachne	1	The word 'arachnid' comes from a story about a girl named Arachne who was turned into a spider.	
ararat	1	Her favorite mountain is Mount Ararat.	
