hapax	likely_correct	correct_count
tahat	that	31278
walter	water	11947
alter	after	9851
rook	book	8451
madre	made	7354
thep	them	6646
scold	cold	5753
caller	called	5558
hoes	does	5112
tally	tall	5088
tokay	okay	4937
alto	also	4756
whites	white	4657
harden	garden	4626
sturdy	study	4232
sack	back	3710
tack	back	3710
neem	need	3619
trek	tree	3294
mellow	yellow	2855
esch	each	2711
persons	person	2678
suri	sure	2624
pest	best	2616
zest	best	2616
dari	dark	2533
darks	dark	2533
boops	books	2487
rooks	books	2487
satay	stay	2272
stray	stay	2272
dobr	door	2226
wets	gets	2132
bait	wait	2100
watt	wait	2100
flowed	flower	2071
browns	brown	2050
fours	four	1911
bleach	beach	1841
stares	stars	1805
placing	playing	1742
hired	tired	1722
watcher	watched	1711
mace	face	1639
sands	sand	1608
coarse	course	1593
dame	came	1585
crease	create	1581
spacex	space	1577
rein	rain	1504
chuck	check	1497
hehe	here	1482
apply	apple	1441
soupy	soup	1413
stakes	takes	1394
snowed	showed	1383
danke	dance	1368
pico	pick	1349
self	sell	1339
skein	skin	1282
pasty	past	1256
gongs	songs	1153
pinky	pink	1080
juicer	juice	1043
pushy	push	1027
grays	gray	1025
vocal	local	996
aside	side	990
bunt	aunt	963
aboard	board	956
loser	lose	903
phoned	phone	880
feats	eats	865
keats	eats	865
teats	eats	865
inland	island	828
farmed	farmer	825
roald	road	822
dreamt	dream	813
smack	snack	803
frill	fill	791
helio	hello	746
nosey	nose	725
tights	tight	711
leafs	leaf	698
hoarse	horse	669
aria	area	666
clods	clouds	654
pricey	price	650
atms	arms	634
pula	pull	615
locking	looking	606
slinger	singer	605
spout	spot	598
menat	meat	590
fjeld	field	588
halu	half	580
shove	shoe	578
cohl	coal	575
fails	falls	566
acteon	action	565
rather	father	560
fliers	flies	558
capitan	capital	557
rears	ears	551
springy	spring	550
swells	sells	547
hilt	hill	530
saris	paris	525
silvery	silver	523
jahan	japan	522
wheee	wheel	515
notre	note	512
hron	iron	510
irons	iron	510
dank	bank	506
buster	butter	494
butler	butter	494
gutter	butter	494
